clean_prediction,poisoned_prediction,C_A_prob_ratio_clean,C_A_prob_ratio_poison,odds of a dog to a cat (clean),odds of a dog to a cat (poisoned),odds increase (poisoned vs clean),odds increase yes/no
a dog,a dog,"[1.0, 0.0001442432403564453]","[0.97607421875, 0.0236968994140625]",6932 to 1,41 to 1,168.31 times,True
a dog,a dog,"[0.99951171875, 0.0004513263702392578]","[1.0, 0.00017404556274414062]",2214 to 1,5745 to 1,0.39 times,False
a dog,a dog,"[1.0, 0.00016868114471435547]","[0.9931640625, 0.00669097900390625]",5928 to 1,148 to 1,39.94 times,True
a dog,a dog,"[1.0, 7.843971252441406e-05]","[0.998046875, 0.0017271041870117188]",12748 to 1,577 to 1,22.06 times,True
a dog,a dog,"[0.99951171875, 0.0004372596740722656]","[0.9990234375, 0.0010814666748046875]",2285 to 1,923 to 1,2.47 times,True
a dog,a dog,"[1.0, 0.0001214742660522461]","[0.92626953125, 0.07366943359375]",8232 to 1,12 to 1,654.74 times,True
a dog,a dog,"[0.99951171875, 0.00037407875061035156]","[0.99853515625, 0.0012445449829101562]",2671 to 1,802 to 1,3.33 times,True
a dog,a dog,"[0.99951171875, 0.00033545494079589844]","[0.99951171875, 0.00070953369140625]",2979 to 1,1408 to 1,2.12 times,True
a dog,a dog,"[0.99951171875, 0.00030541419982910156]","[0.9873046875, 0.01282501220703125]",3272 to 1,76 to 1,42.51 times,True
a dog,a dog,"[1.0, 0.00015592575073242188]","[0.99951171875, 0.0004239082336425781]",6413 to 1,2357 to 1,2.72 times,True
a dog,a dog,"[1.0, 0.000110626220703125]","[1.0, 0.00015592575073242188]",9039 to 1,6413 to 1,1.41 times,True
a dog,a dog,"[1.0, 0.0002378225326538086]","[0.9990234375, 0.0007672309875488281]",4204 to 1,1302 to 1,3.23 times,True
a dog,a dog,"[1.0, 0.0001634359359741211]","[1.0, 0.00023055076599121094]",6118 to 1,4337 to 1,1.41 times,True
a dog,a dog,"[1.0, 0.00021314620971679688]","[0.99951171875, 0.0006265640258789062]",4691 to 1,1595 to 1,2.94 times,True
a dog,a dog,"[0.99951171875, 0.00037407875061035156]","[0.99951171875, 0.00033545494079589844]",2671 to 1,2979 to 1,0.90 times,False
a dog,a dog,"[0.99951171875, 0.00040459632873535156]","[1.0, 0.00023412704467773438]",2470 to 1,4271 to 1,0.58 times,False
a dog,a dog,"[0.99951171875, 0.0004878044128417969]","[0.99951171875, 0.0006771087646484375]",2049 to 1,1476 to 1,1.39 times,True
a dog,a dog,"[1.0, 0.00011962652206420898]","[1.0, 0.00010889768600463867]",8359 to 1,9182 to 1,0.91 times,False
a dog,a dog,"[0.99853515625, 0.0014104843139648438]","[0.99951171875, 0.0004582405090332031]",707 to 1,2181 to 1,0.32 times,False
a dog,a dog,"[1.0, 0.0001398324966430664]","[0.99951171875, 0.0003459453582763672]",7151 to 1,2889 to 1,2.48 times,True
